factory_id,company_name,primary_category,product_keywords,oem_signal,odm_signal,certification_signal,location_signal,mvp_fit,source_url,verification_status,next_action,notes
F001,노바렉스,건강기능식품,"건강기능식품,기획,개발,생산,품질관리",Y,Y,"HACCP,GMP",미확인,B,https://www.novarex.co.kr/ko/?mCode=business%2Fproduction,공개정보확인,"대형 B2B용으로 분리","ODM/OEM 전 과정 제공 공개"
F002,코스맥스엔비티,건강기능식품,"건강기능식품,분말,개인맞춤,OBM",Y,Y,글로벌품질인증,성남/이천,B,https://www.cosmaxnbt.com/business/business_information.jsp,공개정보확인,"분말·개인맞춤 케이스 검증","토탈 솔루션 제공 공개"
F003,코스맥스바이오,건강기능식품,"건강기능식품,소재,제형,R&D",Y,Y,미확인,제천/판교,B,https://www.cosmaxbio.com/,공개정보확인,"제형/소재 상담 가능 여부 확인","OEM·ODM 제조 및 컨설팅 공개"
F004,콜마비앤에이치,건강기능식품,"건강기능식품,ODM,개별인정형원료",미확인,Y,미확인,세종/음성,B,https://kolmarbnh.co.kr/,공개정보확인,"대형 B2B와 기능성 원료 케이스로 분리","건강기능식품 ODM 기업 공개"
F005,한국네츄럴팜,건강기능식품,"건강기능식품,GMP,HACCP",Y,Y,"GMP,HACCP",미확인,A,https://www.koreanaturalpharm.com/index,공개정보확인,"분말·정제·스틱 가능 범위 확인","건기식 OEM/ODM 전문 공개"
F006,데이앤바이오,건강기능식품/일반식품,"분말,환,정제,캡슐,스틱포,PTP",Y,Y,"GMP,HACCP,ISO",미확인,A,https://daynbio.com/,검색정보확인,"소량 MOQ와 일반식품 가능 범위 확인","제형 정보 공개 검색 확인"
F007,채움바이오,건강식품,"정제,분말,스틱,소량생산",Y,Y,미확인,미확인,A,https://cheumbio.com/kr,공개정보확인,"MOQ 1000개 조건과 견적 폼 확인","초기 사업자/소량 생산 메시지 공개"
F008,FAST OEM,건강기능식품,"소량생산,제형개발,원료제안,포장",Y,Y,미확인,미확인,A,https://www.fast-oem.com/,검색정보확인,"초기 창업자 플로우 벤치마크","건기식 OEM/ODM/CDMO 공개"
F009,한미사이언스,음료/두유/영양식,"두유,과채음료,환자용영양식",Y,Y,HACCP,미확인,B,https://hanmiscience.co.kr/science/handler/Business-Oem,공개정보확인,"음료·두유 케이스 별도 분리","HACCP 항목 공개"
F010,주식회사 제이스,소스,"소스,레시피개발,양산,수출",Y,Y,HACCP,미확인,A,https://hjace.co.kr/oem-odm,공개정보확인,"소스 Case 003 후보로 상담 항목 설계","HACCP 기반 소스 OEM/ODM 공개"
F011,소담푸드,소스,"맞춤소스,소량테스트,대량생산",Y,Y,미확인,미확인,A,https://sodamkorea.com/oem,공개정보확인,"샘플 개발 프로세스 확인","소스 OEM/ODM 프로세스 공개"
F012,청우에프앤비,수산식품,"수산식품,맞춤레시피,포장단위조정",Y,Y,HACCP,전남 화순,C,https://cwfnb.com/oem-odm/,공개정보확인,"수산 카테고리는 MVP 후순위","수산식품 OEM/ODM 공개"
F013,만샘골,국탕/HMR,"국탕,밀키트,수육,원팩",Y,Y,HACCP,인천 서구,B,https://www.manssam.com/2,공개정보확인,"HMR 후순위 케이스로 보관","B2B 납품 공개"
F014,진앤푸드,냉장도시락/HMR,"냉장도시락,반찬,덮밥소스,샐러드",Y,미확인,HACCP,미확인,B,https://www.factory-platform.com/manufacturer?category_code=12&tpf=product%2Flist,공개정보확인,"냉장 HMR은 2차 케이스로 분리","팩토리플랫폼 공개 정보"
F015,에스와이솔루션,곡물스낵,"곡물칩,곡물스낵,저당,제로슈가,고단백",Y,Y,"HACCP,ISO,비건,할랄",미확인,A,https://factory-platform.com/manufacturer?category_code=14&tpf=product%2Flist,공개정보확인,"Case 001 최우선 후보","건강 스낵 OEM 협업 가능 공개"
F016,최고존,소스,"업소용소스,맞춤소스",Y,Y,HACCP,미확인,B,https://xn--299a063cvod.com/,검색정보확인,"소스 후보 보강","HACCP 시설 공개 검색 확인"
F017,블루피노,음료,"탄산음료,농산물음료,협업개발",Y,Y,"HACCP,어린이기호식품,비건",미확인,C,https://blupino.com/partner,검색정보확인,"음료는 별도 카테고리로 후순위","탄산음료 OEM 공개"
F018,비티씨,분말,"분말",Y,Y,미확인,전북 익산,A,https://www.foodpolis.kr/fbip/co/fe/search/sub/oemodm?type=search5,공개정보확인,"공공 DB 기반 연락처 확인","푸드이음 등재"
F019,주식회사 성진바이오,환/분말,"환,분말",Y,Y,미확인,경기 포천,A,https://www.foodpolis.kr/fbip/co/fe/search/sub/oemodm?type=search5,공개정보확인,"분말·환 소량 가능 여부 확인","푸드이음 등재"
